query_id,split,family,persona,fid,gt,pair_id,off_rel,off_dec,menu_rel,menu_dec,abac_perm_rel,abac_perm_dec,abac_restr_rel,abac_restr_dec,r3only_rel,r3only_dec,pdp_rel,pdp_dec,pdp_tr_rel,pdp_tr_dec
Q0094,standard,,B_BR:E_B_BR,G02-00503,withhold,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,0,DENY(R3),0,DENY,0,DENY
Q0095,standard,,C_CC:E_C_CC,G02-00528,withhold,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,0,DENY(R3),0,DENY,0,DENY
Q0096,standard,,C_CC:E_C_CC,G02-00563,withhold,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,0,DENY(R3),0,DENY,0,DENY
Q0097,standard,,F_CMP:E_F_CMP,G02-00523,release,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT
Q0098,standard,,F_CMP:E_F_CMP,G02-00510,release,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT
Q0099,standard,,H_HR:E_H_HR,G02-00497,withhold,,1,PERMIT,0,DENY,0,DENY,0,DENY,0,DENY(R3),0,DENY,0,DENY
Q0100,standard,,H_HR:E_H_HR,G02-00474,withhold,,1,PERMIT,0,DENY,0,DENY,0,DENY,0,DENY(R3),0,DENY,0,DENY
Q0101,standard,,F_PAY:E_F_PAY,G02-00523,withhold,,1,PERMIT,0,DENY,0,DENY,0,DENY,0,DENY(R3),0,DENY,0,DENY
Q0102,standard,,F_PAY:E_F_PAY,G02-00540,withhold,,1,PERMIT,0,DENY,0,DENY,0,DENY,0,DENY(R3),0,DENY,0,DENY
Q0103,standard,,B_RHQ:E_B_RHQ,G02-00565,withhold,,1,PERMIT,1,PERMIT,1,PERMIT,0,DENY,0,DENY(R3),0,DENY,0,DENY
Q0104,standard,,B_RHQ:E_B_RHQ,G02-00468,withhold,,1,PERMIT,1,PERMIT,1,PERMIT,0,DENY,0,DENY(R3),0,DENY,0,DENY
Q0105,standard,,S_ACC:E_S_ACC,G01-00000,release,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT
Q0106,standard,,B_BR:E_B_BR,G01-00000,release,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT
Q0107,standard,,H_HR:E_H_HR,G01-00000,release,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT
Q0108,standard,,F_PAY:E_F_PAY,G01-00000,release,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT
Q0109,standard,,F_CMP:E_F_CMP,G01-00000,release,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT
Q0110,standard,,S_ACC:E_S_ACC,G01-00028,release,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT
