query_id,split,family,persona,coords,arm,attr_used,treq_used,k,ledger,fid,released,gt_action,leak,over,rule,reason,canary_ref,gt_peritem_tier
Q0003,standard,,F_PAY:E_F_PAY,gt,idpdm,PB,2,5,,G09-00752,1,release,0,0,R3,R3:ok,,2
Q0004,standard,,F_PAY:E_F_PAY,gt,ungoverned,PB,2,5,,G09-00803,1,release,0,0,-,no-governance,,2
Q0004,standard,,F_PAY:E_F_PAY,gt,menu,PB,2,5,,G09-00803,1,release,0,0,menu,template-level,,2
Q0004,standard,,F_PAY:E_F_PAY,gt,abac_perm,PB,2,5,,G09-00803,1,release,0,0,abac_perm,cell-open(≤3) tier-blind,,2
Q0004,standard,,F_PAY:E_F_PAY,gt,abac_restr,PB,2,5,,G09-00803,1,release,0,0,abac_restr,tier 2<=max 3,,2
Q0004,standard,,F_PAY:E_F_PAY,gt,idpdm,PB,2,5,,G09-00803,1,release,0,0,R3,R3:ok,,2
Q0005,standard,,F_CMP:E_F_CMP,gt,ungoverned,PB,2,5,,G09-00785,1,release,0,0,-,no-governance,,2
Q0005,standard,,F_CMP:E_F_CMP,gt,menu,PB,2,5,,G09-00785,1,release,0,0,menu,template-level,,2
Q0005,standard,,F_CMP:E_F_CMP,gt,abac_perm,PB,2,5,,G09-00785,1,release,0,0,abac_perm,cell-open(≤3) tier-blind,,2
Q0005,standard,,F_CMP:E_F_CMP,gt,abac_restr,PB,2,5,,G09-00785,1,release,0,0,abac_restr,tier 2<=max 3,,2
Q0005,standard,,F_CMP:E_F_CMP,gt,idpdm,PB,2,5,,G09-00785,1,release,0,0,R3,R3:ok,,2
Q0006,standard,,F_CMP:E_F_CMP,gt,ungoverned,PB,2,5,,G09-00599,1,release,0,0,-,no-governance,,2
Q0006,standard,,F_CMP:E_F_CMP,gt,menu,PB,2,5,,G09-00599,1,release,0,0,menu,template-level,,2
Q0006,standard,,F_CMP:E_F_CMP,gt,abac_perm,PB,2,5,,G09-00599,1,release,0,0,abac_perm,cell-open(≤3) tier-blind,,2
Q0006,standard,,F_CMP:E_F_CMP,gt,abac_restr,PB,2,5,,G09-00599,1,release,0,0,abac_restr,tier 2<=max 3,,2
Q0006,standard,,F_CMP:E_F_CMP,gt,idpdm,PB,2,5,,G09-00599,1,release,0,0,R3,R3:ok,,2
Q0007,standard,,B_BR:E_B_BR,gt,ungoverned,PB,2,5,,G09-00764,1,withhold,1,0,-,no-governance,,0
Q0007,standard,,B_BR:E_B_BR,gt,menu,PB,2,5,,G09-00764,1,withhold,1,0,menu,template-level,,0
Q0007,standard,,B_BR:E_B_BR,gt,abac_perm,PB,2,5,,G09-00764,1,withhold,1,0,abac_perm,cell-open(≤3) tier-blind,,0
Q0007,standard,,B_BR:E_B_BR,gt,abac_restr,PB,2,5,,G09-00764,1,withhold,1,0,abac_restr,tier 2<=max 3,,0
Q0007,standard,,B_BR:E_B_BR,gt,idpdm,PB,2,5,,G09-00764,0,withhold,0,0,R3,R3:row(ownership 본인 단독 아님),,0
Q0008,standard,,B_BR:E_B_BR,gt,ungoverned,PB,2,5,,G09-00821,1,withhold,1,0,-,no-governance,,0
Q0008,standard,,B_BR:E_B_BR,gt,menu,PB,2,5,,G09-00821,1,withhold,1,0,menu,template-level,,0
Q0008,standard,,B_BR:E_B_BR,gt,abac_perm,PB,2,5,,G09-00821,1,withhold,1,0,abac_perm,cell-open(≤3) tier-blind,,0
Q0008,standard,,B_BR:E_B_BR,gt,abac_restr,PB,2,5,,G09-00821,1,withhold,1,0,abac_restr,tier 2<=max 3,,0
Q0008,standard,,B_BR:E_B_BR,gt,idpdm,PB,2,5,,G09-00821,0,withhold,0,0,R3,R3:row(ownership 본인 단독 아님),,0
Q0009,standard,,B_RHQ:E_B_RHQ,gt,ungoverned,PB,2,5,,G09-00644,1,withhold,1,0,-,no-governance,,0
Q0009,standard,,B_RHQ:E_B_RHQ,gt,menu,PB,2,5,,G09-00644,1,withhold,1,0,menu,template-level,,0
Q0009,standard,,B_RHQ:E_B_RHQ,gt,abac_perm,PB,2,5,,G09-00644,1,withhold,1,0,abac_perm,cell-open(≤3) tier-blind,,0
Q0009,standard,,B_RHQ:E_B_RHQ,gt,abac_restr,PB,2,5,,G09-00644,1,withhold,1,0,abac_restr,tier 2<=max 3,,0
Q0009,standard,,B_RHQ:E_B_RHQ,gt,idpdm,PB,2,5,,G09-00644,0,withhold,0,0,R3,R3:row(ownership 본인 단독 아님),,0
Q0010,standard,,B_RHQ:E_B_RHQ,gt,ungoverned,PB,2,5,,G09-00749,1,withhold,1,0,-,no-governance,,0
Q0010,standard,,B_RHQ:E_B_RHQ,gt,menu,PB,2,5,,G09-00749,1,withhold,1,0,menu,template-level,,0
Q0010,standard,,B_RHQ:E_B_RHQ,gt,abac_perm,PB,2,5,,G09-00749,1,withhold,1,0,abac_perm,cell-open(≤3) tier-blind,,0
Q0010,standard,,B_RHQ:E_B_RHQ,gt,abac_restr,PB,2,5,,G09-00749,1,withhold,1,0,abac_restr,tier 2<=max 3,,0
Q0010,standard,,B_RHQ:E_B_RHQ,gt,idpdm,PB,2,5,,G09-00749,0,withhold,0,0,R3,R3:row(ownership 본인 단독 아님),,0
Q0011,standard,,S_ACC:E_S_ACC,gt,ungoverned,PB,2,5,,G09-00779,1,withhold,1,0,-,no-governance,,0
Q0011,standard,,S_ACC:E_S_ACC,gt,menu,PB,2,5,,G09-00779,1,withhold,1,0,menu,template-level,,0
Q0011,standard,,S_ACC:E_S_ACC,gt,abac_perm,PB,2,5,,G09-00779,1,withhold,1,0,abac_perm,cell-open(≤3) tier-blind,,0
Q0011,standard,,S_ACC:E_S_ACC,gt,abac_restr,PB,2,5,,G09-00779,1,withhold,1,0,abac_restr,tier 2<=max 3,,0
Q0011,standard,,S_ACC:E_S_ACC,gt,idpdm,PB,2,5,,G09-00779,0,withhold,0,0,R3,R3:row(ownership 본인 단독 아님),,0
Q0012,standard,,S_ACC:E_S_ACC,gt,ungoverned,PB,2,5,,G09-00617,1,withhold,1,0,-,no-governance,,0
Q0012,standard,,S_ACC:E_S_ACC,gt,menu,PB,2,5,,G09-00617,1,withhold,1,0,menu,template-level,,0
Q0012,standard,,S_ACC:E_S_ACC,gt,abac_perm,PB,2,5,,G09-00617,1,withhold,1,0,abac_perm,cell-open(≤3) tier-blind,,0
Q0012,standard,,S_ACC:E_S_ACC,gt,abac_restr,PB,2,5,,G09-00617,1,withhold,1,0,abac_restr,tier 2<=max 3,,0
Q0012,standard,,S_ACC:E_S_ACC,gt,idpdm,PB,2,5,,G09-00617,0,withhold,0,0,R3,R3:row(ownership 본인 단독 아님),,0
Q0013,standard,,F_SEC:E_F_SEC,gt,ungoverned,PB,2,5,,G09-00635,1,withhold,1,0,-,no-governance,,0
Q0013,standard,,F_SEC:E_F_SEC,gt,menu,PB,2,5,,G09-00635,1,withhold,1,0,menu,template-level,,0
Q0013,standard,,F_SEC:E_F_SEC,gt,abac_perm,PB,2,5,,G09-00635,1,withhold,1,0,abac_perm,cell-open(≤3) tier-blind,,0
Q0013,standard,,F_SEC:E_F_SEC,gt,abac_restr,PB,2,5,,G09-00635,1,withhold,1,0,abac_restr,tier 2<=max 3,,0
Q0013,standard,,F_SEC:E_F_SEC,gt,idpdm,PB,2,5,,G09-00635,0,withhold,0,0,R3,R3:row(ownership 본인 단독 아님),,0
Q0014,standard,,F_SEC:E_F_SEC,gt,ungoverned,PB,2,5,,G09-00827,1,withhold,1,0,-,no-governance,,0
Q0014,standard,,F_SEC:E_F_SEC,gt,menu,PB,2,5,,G09-00827,1,withhold,1,0,menu,template-level,,0
Q0014,standard,,F_SEC:E_F_SEC,gt,abac_perm,PB,2,5,,G09-00827,1,withhold,1,0,abac_perm,cell-open(≤3) tier-blind,,0
Q0014,standard,,F_SEC:E_F_SEC,gt,abac_restr,PB,2,5,,G09-00827,1,withhold,1,0,abac_restr,tier 2<=max 3,,0
Q0014,standard,,F_SEC:E_F_SEC,gt,idpdm,PB,2,5,,G09-00827,0,withhold,0,0,R3,R3:row(ownership 본인 단독 아님),,0
Q0015,standard,,F_SAL:E_F_SAL,gt,ungoverned,PB,2,5,,G09-00704,1,withhold,1,0,-,no-governance,,0
Q0015,standard,,F_SAL:E_F_SAL,gt,menu,PB,2,5,,G09-00704,1,withhold,1,0,menu,template-level,,0
Q0015,standard,,F_SAL:E_F_SAL,gt,abac_perm,PB,2,5,,G09-00704,1,withhold,1,0,abac_perm,cell-open(≤3) tier-blind,,0
Q0015,standard,,F_SAL:E_F_SAL,gt,abac_restr,PB,2,5,,G09-00704,1,withhold,1,0,abac_restr,tier 2<=max 3,,0
Q0015,standard,,F_SAL:E_F_SAL,gt,idpdm,PB,2,5,,G09-00704,0,withhold,0,0,R3,R3:row(ownership 본인 단독 아님),,0
Q0016,standard,,F_SAL:E_F_SAL,gt,ungoverned,PB,2,5,,G09-00782,1,withhold,1,0,-,no-governance,,0
Q0016,standard,,F_SAL:E_F_SAL,gt,menu,PB,2,5,,G09-00782,1,withhold,1,0,menu,template-level,,0
Q0016,standard,,F_SAL:E_F_SAL,gt,abac_perm,PB,2,5,,G09-00782,1,withhold,1,0,abac_perm,cell-open(≤3) tier-blind,,0
Q0016,standard,,F_SAL:E_F_SAL,gt,abac_restr,PB,2,5,,G09-00782,1,withhold,1,0,abac_restr,tier 2<=max 3,,0
Q0016,standard,,F_SAL:E_F_SAL,gt,idpdm,PB,2,5,,G09-00782,0,withhold,0,0,R3,R3:row(ownership 본인 단독 아님),,0
Q0017,standard,,H_HR:E_H_HR,gt,ungoverned,PB,3,5,,G09-01025,1,release,0,0,-,no-governance,,3
Q0017,standard,,H_HR:E_H_HR,gt,menu,PB,3,5,,G09-01025,1,release,0,0,menu,template-level,,3
Q0017,standard,,H_HR:E_H_HR,gt,abac_perm,PB,3,5,,G09-01025,1,release,0,0,abac_perm,cell-open(≤3) tier-blind,,3
Q0017,standard,,H_HR:E_H_HR,gt,abac_restr,PB,3,5,,G09-01025,1,release,0,0,abac_restr,tier 3<=max 3,,3
Q0017,standard,,H_HR:E_H_HR,gt,idpdm,PB,3,5,,G09-01025,1,release,0,0,R3,R3:ok,,3
Q0018,standard,,H_HR:E_H_HR,gt,ungoverned,PB,3,5,,G09-01017,1,release,0,0,-,no-governance,,3
Q0018,standard,,H_HR:E_H_HR,gt,menu,PB,3,5,,G09-01017,1,release,0,0,menu,template-level,,3
Q0018,standard,,H_HR:E_H_HR,gt,abac_perm,PB,3,5,,G09-01017,1,release,0,0,abac_perm,cell-open(≤3) tier-blind,,3
Q0018,standard,,H_HR:E_H_HR,gt,abac_restr,PB,3,5,,G09-01017,1,release,0,0,abac_restr,tier 3<=max 3,,3
Q0018,standard,,H_HR:E_H_HR,gt,idpdm,PB,3,5,,G09-01017,1,release,0,0,R3,R3:ok,,3
